,0
0,Arizona
1,Arkansas
2,Delaware
3,Hawaii
4,Idaho
5,Illinois
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maryland
11,Massachusetts
12,Minnesota
13,Montana
14,New Hampshire
15,Oregon
16,Pennsylvania
17,Rhode Island
18,Utah
19,Vermont
20,Virginia
21,West Virginia
